Auditorium Lantai 6 Gedung Pasca [PS-06.02]
Miniteater Lantai 6 [PS-06.08]
Ruang Rapat PS-02.07
Ruang Sidang D3 Lantai 1 [GG-102]
Ruang Sidang D3 Lantai 3 [GG-303]
Ruang Sidang D4 Lantai 2 [A-201]
Ruang Sidang D4 lt 2 B.201 
Ruang Sidang D4 lt 2 B.202
Ruang Sidang D4 lt 2 B.203
Ruang Sidang D4 lt 2 B.204
Ruang Sidang D4 lt 2 B.205
Ruang Sidang S2 lt 2 (Dekat Manajemen) [PS-02.10]
Ruang Sidang S2 lt 1 (Dekat lift) [PS-01.10]
Ruang Sidang S2 lt 3  [PS-03.10]
Ruang Sidang lt 2 [D4-B]
Teater D3 [HH-101]
